epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1329.64,1.59038,1.48127,1.78655,0.64707,0.55758,0.62097,0.33515,1.57656,1.51052,1.88174,0.000911,0.000911,0.000911
57,1353.09,1.56541,1.47496,1.74863,0.70083,0.5303,0.61921,0.34078,1.5472,1.52484,1.85744,0.0008912,0.0008912,0.0008912
58,1376.33,1.5772,1.49832,1.80242,0.67006,0.57576,0.6238,0.33354,1.59958,1.57135,1.89909,0.0008714,0.0008714,0.0008714
59,1399.44,1.58711,1.50488,1.77855,0.63776,0.51818,0.59621,0.3288,1.59516,1.5308,1.88533,0.0008516,0.0008516,0.0008516
60,1422.98,1.574,1.52382,1.78631,0.75429,0.52424,0.63608,0.34491,1.56866,1.498,1.86655,0.0008318,0.0008318,0.0008318
61,1446.14,1.54785,1.43111,1.75067,0.72192,0.5697,0.63924,0.34091,1.61342,1.51518,1.87295,0.000812,0.000812,0.000812
62,1468.99,1.55102,1.44134,1.75722,0.6154,0.53823,0.60688,0.33918,1.55614,1.5129,1.83881,0.0007922,0.0007922,0.0007922
63,1492.03,1.55263,1.40739,1.73041,0.73034,0.55152,0.65229,0.35752,1.55401,1.46959,1.82804,0.0007724,0.0007724,0.0007724
64,1516.25,1.52059,1.44219,1.7404,0.67842,0.53701,0.62628,0.34507,1.56616,1.53091,1.86299,0.0007526,0.0007526,0.0007526
65,1540.12,1.50166,1.39122,1.72801,0.6828,0.55152,0.626,0.34836,1.60475,1.51607,1.91237,0.0007328,0.0007328,0.0007328
66,1563.67,1.50657,1.39475,1.7161,0.70914,0.51718,0.63945,0.36279,1.5524,1.43043,1.85774,0.000713,0.000713,0.000713
67,1586.98,1.48954,1.38812,1.74751,0.65426,0.57345,0.64067,0.35629,1.54593,1.49153,1.84086,0.0006932,0.0006932,0.0006932
68,1610.02,1.46762,1.3916,1.71113,0.67733,0.59794,0.65438,0.36014,1.58858,1.48465,1.89689,0.0006734,0.0006734,0.0006734
69,1633.52,1.48151,1.33569,1.69608,0.68079,0.56061,0.65004,0.35152,1.55076,1.44747,1.82752,0.0006536,0.0006536,0.0006536
70,1656.88,1.49559,1.38307,1.72124,0.68663,0.59394,0.65631,0.3622,1.54087,1.42524,1.86416,0.0006338,0.0006338,0.0006338
71,1679.95,1.49703,1.36366,1.71008,0.65868,0.61818,0.67048,0.36005,1.57488,1.40141,1.88656,0.000614,0.000614,0.000614
72,1703.09,1.48917,1.34615,1.69128,0.73597,0.56593,0.67389,0.37167,1.53451,1.42302,1.80861,0.0005942,0.0005942,0.0005942
73,1726.7,1.47905,1.34599,1.68717,0.65668,0.58485,0.64631,0.35511,1.55741,1.44167,1.84077,0.0005744,0.0005744,0.0005744
74,1750.35,1.47927,1.32002,1.69102,0.74997,0.53636,0.65322,0.36729,1.52218,1.43936,1.80954,0.0005546,0.0005546,0.0005546
75,1774.03,1.465,1.32066,1.68838,0.69255,0.60303,0.65766,0.37655,1.5017,1.38299,1.80486,0.0005348,0.0005348,0.0005348
76,1797.33,1.46252,1.29726,1.68522,0.68984,0.57963,0.66338,0.37082,1.5409,1.39394,1.83279,0.000515,0.000515,0.000515
77,1820.42,1.46151,1.28994,1.66845,0.70062,0.56667,0.6538,0.37038,1.50406,1.40088,1.82133,0.0004952,0.0004952,0.0004952
78,1843.31,1.45245,1.30709,1.67772,0.67662,0.62424,0.6817,0.37938,1.53049,1.38319,1.82277,0.0004754,0.0004754,0.0004754
79,1866.82,1.44018,1.29505,1.67485,0.69525,0.61515,0.68191,0.39327,1.48513,1.35869,1.80195,0.0004556,0.0004556,0.0004556
80,1890.46,1.44799,1.29285,1.65741,0.76057,0.5697,0.66513,0.37682,1.51131,1.39201,1.83574,0.0004358,0.0004358,0.0004358
81,1913.87,1.43865,1.32501,1.6636,0.72323,0.58182,0.66291,0.37574,1.4977,1.42156,1.78196,0.000416,0.000416,0.000416
82,1936.78,1.4477,1.27899,1.6555,0.70763,0.58182,0.67528,0.38232,1.50352,1.36445,1.82045,0.0003962,0.0003962,0.0003962
83,1959.75,1.42666,1.24869,1.64628,0.69779,0.60873,0.67993,0.39064,1.5078,1.34843,1.82286,0.0003764,0.0003764,0.0003764
84,1983.19,1.39695,1.21851,1.61653,0.70706,0.59394,0.67664,0.39614,1.47183,1.32629,1.79885,0.0003566,0.0003566,0.0003566
85,2007.34,1.4449,1.24931,1.66058,0.69843,0.59697,0.66905,0.38081,1.51167,1.35095,1.82487,0.0003368,0.0003368,0.0003368
86,2030.89,1.42548,1.26156,1.66883,0.72562,0.60909,0.6812,0.38707,1.51523,1.33837,1.81917,0.000317,0.000317,0.000317
87,2054.11,1.40216,1.25328,1.62094,0.73362,0.59252,0.67868,0.38633,1.49165,1.35051,1.7995,0.0002972,0.0002972,0.0002972
88,2077.01,1.38335,1.20788,1.59212,0.68982,0.61515,0.67336,0.39151,1.49855,1.35058,1.81216,0.0002774,0.0002774,0.0002774
89,2100.46,1.40135,1.19549,1.62975,0.68071,0.62727,0.68478,0.39386,1.50232,1.3283,1.81122,0.0002576,0.0002576,0.0002576
90,2124.07,1.41773,1.24665,1.62245,0.70156,0.64242,0.68809,0.39733,1.51043,1.32703,1.82376,0.0002378,0.0002378,0.0002378
91,2146.27,1.29717,1.2297,1.56447,0.64816,0.61515,0.66592,0.38926,1.49347,1.36185,1.82034,0.000218,0.000218,0.000218
92,2168.7,1.28538,1.19133,1.56223,0.70885,0.60606,0.67326,0.39365,1.48258,1.33,1.81662,0.0001982,0.0001982,0.0001982
93,2191.38,1.25636,1.12425,1.55992,0.73811,0.61212,0.69006,0.39778,1.45096,1.30731,1.78161,0.0001784,0.0001784,0.0001784
94,2214.13,1.24575,1.11964,1.51491,0.76504,0.61173,0.69201,0.40468,1.4644,1.31277,1.78911,0.0001586,0.0001586,0.0001586
95,2236.6,1.21449,1.07745,1.50646,0.74333,0.62308,0.69431,0.40487,1.46122,1.31067,1.78017,0.0001388,0.0001388,0.0001388
96,2258.96,1.24121,1.0882,1.52131,0.75856,0.62424,0.69601,0.40856,1.47963,1.2893,1.79541,0.000119,0.000119,0.000119
97,2281.18,1.23737,1.07476,1.53509,0.76825,0.62121,0.69553,0.4063,1.47204,1.28507,1.78283,9.92e-05,9.92e-05,9.92e-05
98,2304.13,1.251,1.04693,1.53413,0.76063,0.61212,0.69856,0.40812,1.47385,1.29527,1.79318,7.94e-05,7.94e-05,7.94e-05
99,2326.94,1.23892,1.05455,1.50641,0.76311,0.61499,0.69622,0.41276,1.47376,1.29942,1.79322,5.96e-05,5.96e-05,5.96e-05
100,2349.25,1.23576,1.08927,1.51346,0.75625,0.62053,0.69509,0.40789,1.46892,1.29949,1.7814,3.98e-05,3.98e-05,3.98e-05
